region,streams,strategy
USA,116176,Create exclusive content for USA fans
UK,91096,Increase social media engagement targeting UK
Canada,89140,Create exclusive content for Canada fans
Brazil,82202,Increase social media engagement targeting Brazil
Germany,77781,Create exclusive content for Germany fans
"New York, USA",43733,Target radio promotion in New York
"Chicago, USA",43165,Host fan meetup in Chicago
"Liverpool, UK",41634,Host fan meetup in Liverpool
"Vancouver, Canada",40819,Host fan meetup in Vancouver
"Rio de Janeiro, Brazil",39342,Create city-specific merchandise for Rio de Janeiro
"Cologne, Germany",38828,Create city-specific merchandise for Cologne
"Frankfurt, Germany",33598,Collaborate with local artists from Frankfurt
"Seoul, South Korea",33277,Create city-specific merchandise for Seoul
"Glasgow, UK",32265,Create city-specific merchandise for Glasgow
"Incheon, South Korea",32260,Target radio promotion in Incheon
